'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'7,'Text 31,"'Second, it has become the purchaser of many specific physical assets for defense firms. Physical assets that cannot be easily adapted to other weapons programs are termed ""special tools and test equipment"" and these are purchased directly by government. Although statistics are very difficult to come by, I am told by informed industry and government sources that the dollar value of such government funded capital is often very large and is comparable to the dollar value of firm funded capital. As well, the government sometimes provides contractual guarantees that capital will be paid for if a program is canceled (e.g., the B1 and B2) or literally builds and owns the entire physical plant (e.g., the F16). However, these latter practices are more rare.",'54,'93.75000000
'7,'Text 32,"'Third, through a massive set of regulations and policies, DoD has established an extra-contractual administrative relationship with firms that provides them with a range of guarantees that their specific investments will not be appropriated [Crocker and Reynolds (1993), Goldberg (1976)]. Perhaps the major such regulatory guarantee is the regulatory directive that prices will be cost-based when negotiations occur with a sole source. That is, procurement regulations specifically instruct contracting officers negotiating with a sole source that their job is not to obtain the lowest price. Rather, regulations instruct them in great detail how to calculate a fair price based on estimated costs and instruct them to obtain this price. The fair price also includes a ""profit"" term which is meant to reimburse firms for the cost of capital, the cost of risk-bearing and other economic costs not recognized as costs by the accounting system [Rogerson (1992c)]. Many of the cost elements that the regulations instruct contracting officers to pay for are likely to be sunk at the time of negotiation.",'55,'95.01953125
'7,'Text 33,"'There is a distinct element of reputational enforcement inherent in this relationship. Some of the DoD behavior that provides investment guarantees is simply DoD practice and not mandated by any regulation. Even behavior mandated by regulations cannot be completely relied on because regulations can be changed. Of course, it can be difficult to change regulations, especially when defense firms can directly lobby Congress to intervene, etc. This difficulty in changing regulations works to DoD's advantage in convincing firms that they can rely on the regulations. Nonetheless, there is also an",'56,'91.35742188
'8,'Page number 7,"'316",'57,'97.21679688
'8,'Header 9,"'W.P. Rogerson",'58,'95.89843750
'8,'Text 34,"'element of reputational enforcement. Namely, DoD would often benefit in the short run from reneging on all of its commitments and negotiating the lowest possible prices for the current period's prices. However, in the long run, DoD would be harmed because it would no longer be able to convince firms to engage in specific investments. Thus, it may well be rational for DoD to honor its implicit commitments as codified in its regulations.",'59,'98.92578125
'8,'Section header 8,"'2,6. The program life cycle",'60,'89.25781250
'8,'Text 35,"'Based on the above discussion, we can view the life cycle of a program as being divided into three phases. First is the design phase, during which multiple firms pursue competing designs. In early portions of the design phase there may be five or more firms; however, by the end of this phase, DoD is usually left with two competing firms, each with its own design. DoD directly funds most of this research through cost- reimbursement contracts. However, competition for the production franchise is often intense and thus firms often augment DoD funding with their own private funds.",'61,'96.48437500
'8,'Text 36,"'The second phase is the sole source selection phase, in which firms submit prototypes, final design plans, etc. to DoD SO it can evaluate the relative merits of the designs. They also typically bid on the next increment of work, which consists of finalizing the design, establishing the production line, and producing the first few items. DoD selects a winner based on its evaluation of the competing designs (their likely performance, production cost, maintainability, etc.) and the bids on the next increment of work. A single winner is chosen because of economies of scale.",'62,'93.31054688
'8,'Text 37,"'The third phase is the production phase, during which the winner of the source selection phase produces the product. This phase may last a decade or more. An important point is that almost all of the production contracts are signed in a sole source environment after the winner has been chosen, because of cost uncertainties, demand uncertainties, and the evolving nature of the product. Prices in the production phase are highly cost based. Although production occurs under a series of annually signed fixed-price contracts, each contract's price is largely determined by audited historic and audited projected accounting costs. Furthermore, strict application of TINA probably even makes each annual fixed-price contract more cost-based than a true fixed-price contract.",'63,'96.58203125
'8,'Section header 9,"'2.7. Discussion",'64,'89.99023438
'8,'Text 38,"'An interesting perspective on the role of the above four characteristics in generating the regulatory problem of defense procurement can be obtained by considering how the regulatory problem would change if only some were true. In particular, it is illuminating to consider the first two features as one group (R&D is important; large uncertainties) and the second two as a separate group (large economies of scale in production imply the absence of close substitutes; government is sole purchaser).",'65,'96.09375000
'8,'Text 39,"'Suppose that only the first group of features was true. This would be an industry where technological advance is rapid and important and where large uncertainties",'66,'87.89062500
'9,'Header 10,"'Ch. 12: Incentive Models of the Defense Procurement Process",'67,'80.76171875
'9,'Page number 8,"'317",'68,'94.28710938
'9,'Text 40,"'exist, especially at the R&D phase. However, government is not the only buyer and economies of scale are not SO large as to preclude competition between substitutes. The obvious example of such an industry is the computer industry. Computer procurement works in a completely different fashion than weapons procurement [Kelman (1990)]. The government does not directly buy R&D; rather, it buys final products much as occurs in any normal commercial market. Furthermore, it does not directly fund facilities capital investments. Finally, procurement is usually accomplished through competitive bidding with no element of cost based pricing.",'69,'97.70507813
'9,'Text 41,"'Now suppose that only the second group of features was true. This would be an industry where technological advance is not particularly important and thus efficient production is the only real issue. However, there are large economies of scale SO there is room in the market for only one firm. This is, of course, the description of a traditional public utility regulation problem. Thus, in some sense, the production phase of a procurement problem can be viewed as a typical public utility problem. What makes defense procurement special, is that each franchise lasts only a decade or so, and firms compete for the franchise by performing R&D. Furthermore, generating the correct amounts of the correct types of R&D is a major goal of the regulatory system.",'70,'97.02148438
'9,'Section header 10,"'2.8. Theory of the internal organization of the firm",'71,'86.13281250
'9,'Text 42,"'One feature that distinguishes defense procurement from traditional public utility regulation is that each production program can be viewed as its own franchise and thus ex-ante competitions for each franchise are generally possible. This feature means that the regulatory problem in defense is much more closely related to incentive issues that arise in the theory of the firm than is the standard regulatory problem. In particular, DoD's long-term relational partnerships with suppliers are similar, in some respects, to the type of relationships that large commercial firms such as General Motors, have with their major suppliers. Production of major automobile subcomponents or parts often requires specific investments in R&D or physical capital. Production often occurs by a single source. However, the relationship is nested in a larger competitive environment where GM could turn to different subcontractors for future programs if it wished. Thus, just as in defense procurement, sole source relationships with specific investments occur in the context of a larger competitive environment for future programs.",'72,'95.80078125
'9,'Text 43,"'One of the major differences between the DoD problem and GM's problem regards the ""make versus buy"" decision. Many observers believe that government either lacks the ability to take production in-house (due to low civil service pay scales, cumbersome personnel systems, lack of flexibility for decision-making, etc.), or simply does not want to design and produce its own weapons because of an ideological preference for private enterprise If this is true, then the government's options to make instead",'73,'92.62695313
'9,'Text 44,"'4 The fact that state ownership of defense firms is fairly common in Europe perhaps suggests that the latter reason (ideological preference) may be more important than the former (technological infeasibility).",'74,'75.34179688
'10,'Page number 9,"'318",'75,'93.60351563
'10,'Header 11,"'W.P. Rogerson",'76,'95.80078125
'10,'Text 45,"'of buy are much more limited than GM's. This difference is interesting, because, as will be discussed further in the next two sections, a major problem faced by the defense regulatory system is how to provide incentives for R&D. There is some evidence that large commercial firms deal with this problem by moving production in- house. Monteverde and Teece (1982) show that large automotive firms are much more likely to produce a component in-house if it involves large amounts of R&D. This suggests that provision of incentives for R&D may be a particularly difficult problem in purchaser/supplier relationships.",'77,'98.77929688
'10,'Section header 11,"'2.9. Prizes for innovation",'78,'91.16210938
'10,'Text 46,"'A recurring theme in the above discussion is the necessity for providing incentives for innovation. This part will explain how the current system provides these incentives. An important characteristic of the R&D stage is that the output of this stage is inherently difficult or impossible to measure objectively and describe for purposes of contracting. That is, it is essentially impossible to sign explicit incentive contracts at the R&D stage that specify all possible good ideas and the reward that the firm will be paid as a function of which good idea it comes up with. The obvious objectively verifiable signal of whether a firm has created a successful new weapons design is whether DoD chooses to purchase it. Thus, a regulatory system could create prizes for innovation by guaranteeing that firms which generate ideas good enough to be adopted by the government will receive prizes in the form of economic profit on the production phase of the system. Furthermore, if profit was awarded approximately as a percentage of cost, this might also tend to award larger prizes to more important innovations, at least in a rough sense.",'79,'96.72851563
'10,'Text 47,"'This is, in fact, the approach that DoD appears to follow. The overall result of DoD's regulatory system is that a defense firm selected to be sole source producer of a weapons systems earns economic profit on the production phase of the program and the prospect of earning this sole source profit gives defense firms an incentive to exert their best efforts at the design phase. Two different approaches have been used to empirically estimate the size of this effect. Rogerson (1989, 1991c) uses an event study methodology to estimate the size of the prizes that winners of design contests earn and finds that it is equal to approximately 3.3% to 4.7% of revenues earned in the production phase. Lichtenberg (1988) directly estimates the effect of government business on defense firms' private R&D expenditures and finds that one dollar of production purchases may stimulate 54 cents of such expenditures.",'80,'92.23632813
'10,'Section header 12,"'2.10. Inter-linked stages",'81,'90.57617188
'10,'Text 48,"'An extremely important feature of the procurement process is that firms' behavior is interconnected across the three stages of procurement: design, sole source selection, and production. This means that models of the procurement process which focus on only one of the stages may fail to capture important aspects of the problem. In general,",'82,'94.87304688
'11,'Header 12,"'Ch. 12: Incentive Models of the Defense Procurement Process",'83,'65.33203125
'11,'Page number 10,"'319",'84,'78.12500000
'11,'Text 49,"'one must approach procurement policy by simultaneously considering behavior and policy options at all three stages. For example, government might choose to influence the overall amount and quality of R&D by varying direct funding at the design phase, by taking steps to change the competitiveness of bidding at the source selection phase, or by changing the profitability allowed during sole source production. Of course, these tools will have different effects on other goals, like efficiency at the production stage. Thus, an optimal policy must be designed by identifying how different combinations of policies at different stages affect all the goals to be achieved.",'85,'97.85156250
'11,'Text 50,"'For some important questions, it is necessary to expand the scope of analysis even further, to include multiple programs. This is because economies of scope exist across products [Rogerson (1992a,b)] and because award decisions made today will influence the nature of the industrial structure that exists tomorrow, and thus affect the range of options open to government in the future.",'86,'87.54882813
'11,'Text 51,"'Therefore, links between stages of a program and links between programs often have critically important effects, and this must be kept in mind when interpreting the results of models that limit themselves to a single stage of the process or a single program.",'87,'84.52148438
'11,'Section header 13,"'3. The simple procurement problem with a single agent",'88,'85.05859375
'11,'Section header 14,"'3.1. Introduction",'89,'58.69140625
'11,'Text 52,"'Sections 3 and 4 will consider a particularly simple stylized procurement problem which will be called the simple procurement problem (SPP). In the SPP, a principal (government) must hire an agent (the firm) to produce a single unit of a commodity with well-defined characteristics that can be objectively specified. Government is uncertain about the cost of producing the commodity. Although it cannot predict the eventual cost of production with certainty, it is able to audit and thus measure the ex-post cost of production. Government can sign a contract with a firm that makes government's payment to the firm a function of the measured ex-post cost of production. There are a fixed number of firms, n, capable of producing the commodity. This section will consider the case where n equals one and the next section will consider the case where n is greater than one. The firms may or may not have private information about their likely production costs. Government needs to hire a single firm. Government's goal is to minimize its expected costs of procurement on this procurement considered in isolation. That is, there are no considerations about the effects of this procurement on future procurements for the same or related products. Nor are there any concerns about the effects of the procurement on industry structure or capability.",'90,'96.67968750
'11,'Text 53,"'Thus far, most of the major advances in theoretical incentive models that are potentially applicable to procurement have been derived in the context of the SPP. This limits their usefulness to some extent. As argued in the previous section, these models fail to shed light on many of the most interesting questions in defense procurement,",'91,'82.22656250
'12,'Page number 11,"'320",'92,'95.11718750
'12,'Header 13,"'W.P. Rogerson",'93,'96.77734375
'12,'Text 54,"'because a defining feature of the process is that in fact it cannot be viewed as a series of isolated procurements. Individual programs are carried out through a series of interlinked stages and investments made for one program often have spill-over effects on other programs. However, the SPP does capture many important incentive issues in procurement and, in many instances, understanding the SPP is a necessary precursor to understanding more complex issues not captured by this model.",'94,'98.43750000
'12,'Section header 15,"'3.2. The general model",'95,'89.35546875
'12,'Text 55,"'This part will introduce notation to formally describe the general SPP when there is a single firm from which government can purchase the commodity. Then subsequent parts will show how particular models considered in the literature can be viewed as special cases of this general model.",'96,'94.62890625
'12,'Text 56,"'Let C denote the cost of production if the principal hires the agent. Although the principal cannot necessarily predict C with certainty, he can measure C after production occurs. Therefore contracts can be signed based on measured production costs. Let p(c) denote a contract. Under the contract p(c), the agent promises to deliver the product to the principal, and the principal promises to pay the agent p(c) if its measured production cost is C.",'97,'95.11718750
'12,'Text 57,"'The agent must choose a level of effort, e E [0, 00) if hired by the principal. This effort variable has the property that it both lowers production costs and induces a level of disutility in the agent. The critical assumption (and the reason that effort is distinguished from cost) is that neither the agent's level of effort nor the disutility it induces in the agent can be contracted upon. The most obvious example of such a variable is managerial effort - hence the name. However, this is not the only or necessarily the most important example of an effort variable. It is quite generally the case that accounting measures of cost do not measure all of the relevant opportunity costs to a firm. For example, a firm may have the choice of using its best engineers on a government contract or on a commercial contract. Suppose that the best engineers will achieve extra cost reductions on whatever contract they are used. To the firm, an opportunity cost of using the best engineers on the government contract is the foregone profits that could have been earned on the commercial contract. This cost is not measured by accounting numbers. Therefore it can be modelled as an effort variable.",'98,'97.31445313
'12,'Text 58,"'To capture the fact that the relationship between effort and cost may be stochastic and that the agent may be better informed than the principal about this relationship, assume the cost is determined by",'99,'90.82031250
'12,'Text 59,"'c=T(e,e,6),",'100,'62.69531250
'12,'Text 60,"'(1)",'101,'49.21875000
'12,'Text 61,"'where E and 0 are random variables drawn by nature before the start of the relationship according to the distribution G(e,0) over [Emin, Emax X [0min, Omax with density g( e, 0). Assume that <0, SO that increased effort decreases cost. Assume",'102,'92.43164063
'13,'Header 14,"'Ch. 12: Incentive Models of the Defense Procurement Process",'103,'82.91015625
'13,'Page number 12,"'321",'104,'95.70312500
'13,'Text 62,"'that I >0 and IA > 0, SO that higher draws of the random variables correspond to ""worse"" situations in the sense that costs will be higher. The distinction between E and 0 concerns their observability. Assume that both actors know the function I and the distribution G. However, neither actor can observe E and only the agent can observe O. Thus E represents symmetric uncertainty about costs in the sense that both actors are uncertain about its value. However, 0 represents asymmetric uncertainty about costs in the sense that only the principal is uncertain about its value. The parameter 0 will often be referred to as the agent's ""type"". Higher values of 0 will be spoken of as being worse types since > 0.",'105,'97.65625000
'13,'Text 63,"'The agent's income, I, will be given by the price he receives from the principal minus the production cost. Assume that the agent's utility over income, I, and effort, e, is given by the separable function5",'106,'71.92382813
'13,'Text 64,"'u(I) - (e).",'107,'57.66601563
'13,'Text 65,"'(2)",'108,'68.06640625
'13,'Text 66,"'Assume that u(0) =0, (0) and that the agent's reservation level of utility is zero. This means that the agent is completely indifferent between accepting a cost- reimbursement contract and not participating at all Thus the principal would always have the option of hiring the agent under a cost-reimbursement contract, if he wished. This assumption is not necessary for the results but helps make the model intuitively clear. Assume that the agent evaluates income lotteries by calculating expected utilities and comparing them and that u' > 0 and u"" <i 0, SO that the agent prefers more income to less, and is risk neutral or risk averse. Assume that '(e) > 0 and ""(e) > 0, SO that the agent dislikes effort and the marginal disutility of effort is weakly increasing.",'109,'95.01953125
'13,'Text 67,"'Although it is not necessary for the analysis, it will be convenient to assume that the principal is risk neutral and places an infinite value on consuming the good. Thus the principal's goal is to procure the good at minimum expected cost.",'110,'50.48828125
'13,'Text 68,"'The relationship can be viewed as unfolding in three steps. At the first step, nature chooses E and 0. At the second step, the principal offers a contract p(c) to the agent and the agent decides whether or not to accept it. At the third step, if the agent has accepted the contract, he chooses an effort level, e, that results in a production cost, C. Government receives the good and pays the firm p(c).",'111,'69.28710938
'13,'Text 69,"'With respect to actors' information, assume that both actors know the entire structure of the relationship given by the functions G, T, , and u. Thus the only information asymmetry at the time of contracting is that the agent has observed 0 and the principal has not.",'112,'86.47460938
'13,'Text 70,"'5 The separability assumption is basically for expositional convenience. The same basic qualitative insights apply to the nonseparable case, only the analysis is more complicated because the agent's attitudes towards risk and preferences over income are potentially affected by his effort choice.",'113,'32.03125000
'13,'Text 71,"'6 Under a cost reimbursement contract, p(c) = c, SO that I always equals zero. The agent will choose the lowest possible effort, i.e., e=0, under this contract. Thus the agent's expected level of utility equals zero.",'114,'29.66308594
'14,'Page number 13,"'322",'115,'88.37890625
'14,'Header 15,"'W.P. Rogerson",'116,'93.21289063
'14,'Section header 16,"'3.3. Pure moral hazard: The model",'117,'52.83203125
'14,'Text 72,"'The pure moral hazard model is created by assuming that there is no asymmetric cost uncertainty. Formally, assume that 0 assumes some particular value with probability one. Since 0 does not vary, one can simplify notation by suppressing 0 entirely. Let G( E ) and g( e) denote the distribution and density of E, and let (e,e) denote the function that determines cost as a function of e and E.",'118,'96.72851563
'14,'Text 73,"'Suppose that the principal offers the agent a cost-reimbursement contract7. From the agent's standpoint, there is no benefit from lowering production costs. Therefore, he will reduce his effort to a minimum. Since effort levels cannot be contractually specified, the only way to induce the agent to exert effort to lower costs is to give him a financial incentive to lower costs. That is, the agent must be told that if he succeeds in lowering costs by one dollar, the price that he is paid will not decline by a full dollar. Of course, the extreme case would be to offer the agent a fixed-price contract. In this case, the agent would receive all the benefits from exerting effort, SO would have no incentive at all to shirk. However, a fixed-price contract creates another potential problem. Under a fixed-price contract, the agent bears all of the risk of cost overruns and underruns. If the agent is risk averse (recall that, by assumption, the principal is risk neutral), the optimal contract from an insurance perspective would be a cost-reimbursement contract, where the principal bore all the risk.",'119,'95.94726563
'14,'Text 74,"'This, then, is the fundamental contracting issue in the pure moral hazard model. From an incentive perspective, the ideal contract is a fixed-price contract. From an insurance perspective, however, this contract places all of the risk on the agent. If the agent is risk neutral, this poses no problem and the optimal contract is a fixed-price contract. However, if the agent is risk averse, the ideal contract from an insurance perspective is a cost-reimbursement contract. Therefore, we cannot simultaneously accomplish both goals of creating ideal incentives and ideal insurance. Not surprisingly, the optimal contract in general turns out to be a cost sharing contract, which tries to achieve an optimal trade-off between the two competing goals.",'120,'92.96875000
